"","CA.pearson","CA.pearson.sqrt","CM.pearson","CM.pearson.sqrt","CA.spearman","CM.spearman"
"CN R0 = -0.1",NA,NA,NA,NA,NA,NA
"CN R0 = 2.5",NA,NA,NA,NA,NA,NA
"CN R0 = 7.5",0.653531678609518,0.699123290157115,0.452452689677123,0.571575028029947,0.68284669766716,0.587216238797132
"CN R0 = 12.5",0.744273961049361,0.77489925585603,0.693271229388993,0.73332568707278,0.74697875420225,0.718087202543105
"CN R0 = 17.5",0.705307325378196,0.724795566916176,0.701644792539469,0.723092689288541,0.64492830347973,0.657859559426531
"CN R0 = 22.5",0.609512672551279,0.606574709455966,0.611007793147716,0.607322837119134,0.46691115296344,0.46691115296344
"CN R0 = 27.5",0.502591797322048,0.486911834463836,0.503134428410635,0.487211259452279,0.316016418290701,0.316016418290701
"CN R0 = 32.5",0.497225990845279,0.44852281916322,0.52241787337834,0.47610889403216,0.250231928684402,0.201782737331882
"CN R0 = 37.5",NA,NA,0.429419799862826,0.38576417381603,NA,0.262704060244443
"CN R0 = 42.5",NA,NA,NA,NA,NA,NA
"CN R0 = 47.5",NA,NA,NA,NA,NA,NA
"CN R0 = 52.5",NA,NA,NA,NA,NA,NA
"WCN",0.707497255644255,0.757943528458087,0.680034654723207,0.705382183282697,0.735704362322868,0.656460127813282
